Protein,Ligand,Method_1,Pose_1_Rank,Method_2,Pose_2_Rank,RMSD_Å,Centroid_Δ_Å,Comparison
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,DiffDock,1,EquiBind,3,0.69,33.35,DiffDock#1 vs EquiBind#3
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,DiffDock,2,EquiBind,1,0.83,22.41,DiffDock#2 vs EquiBind#1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,DiffDock,2,EquiBind,2,1.27,22.41,DiffDock#2 vs EquiBind#2
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,DiffDock,2,EquiBind,3,1.0,22.34,DiffDock#2 vs EquiBind#3
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,DiffDock,3,EquiBind,1,0.83,22.41,DiffDock#3 vs EquiBind#1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,DiffDock,3,EquiBind,2,1.27,22.41,DiffDock#3 vs EquiBind#2
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,DiffDock,3,EquiBind,3,1.0,22.34,DiffDock#3 vs EquiBind#3
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,1,DiffDock,1,1.92,25.68,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,1,DiffDock,2,2.38,17.21,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,1,DiffDock,3,2.38,17.21,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,2,DiffDock,1,2.06,57.77,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,2,DiffDock,2,1.87,51.84,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,2,DiffDock,3,1.87,51.84,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,3,DiffDock,1,2.02,63.76,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,3,DiffDock,2,2.12,61.69,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,3,DiffDock,3,2.12,61.69,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,1,1.97,7.26,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,2,2.14,9.04,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,1,1.26,38.33,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,2,1.99,36.38,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,1,2.35,48.62,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,2,2.15,48.12,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,DiffDock,1,EquiBind,1,2.27,32.77,DiffDock#1 vs EquiBind#1
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,DiffDock,1,EquiBind,2,1.31,34.72,DiffDock#1 vs EquiBind#2
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,DiffDock,2,EquiBind,1,1.26,24.25,DiffDock#2 vs EquiBind#1
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,DiffDock,2,EquiBind,2,2.6,25.84,DiffDock#2 vs EquiBind#2
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,DiffDock,3,EquiBind,1,1.26,24.25,DiffDock#3 vs EquiBind#1
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,DiffDock,3,EquiBind,2,2.6,25.84,DiffDock#3 vs EquiBind#2
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,AutoDock_Vina,1,DiffDock,1,2.58,45.91,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,AutoDock_Vina,1,DiffDock,2,1.88,42.75,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,AutoDock_Vina,1,DiffDock,3,1.88,42.75,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,AutoDock_Vina,2,DiffDock,1,1.49,61.81,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,AutoDock_Vina,2,DiffDock,2,2.45,62.03,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,AutoDock_Vina,2,DiffDock,3,2.45,62.03,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,AutoDock_Vina,3,DiffDock,1,1.91,30.44,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,AutoDock_Vina,3,DiffDock,2,1.6,31.86,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,AutoDock_Vina,3,DiffDock,3,1.6,31.86,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,1,1.4,28.73,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,2,0.68,29.67,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,3,1.91,29.31,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,1,1.33,27.8,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,2,1.04,29.64,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,3,1.41,28.77,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,1,1.05,28.65,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,2,1.63,29.6,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,3,1.18,29.23,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,1,1.66,48.15,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,2,0.73,48.15,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,3,0.94,48.15,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,1,0.87,20.16,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,2,1.4,20.17,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,3,1.32,20.17,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,1,1.43,48.09,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,2,1.26,48.08,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,3,1.05,48.08,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,1,1.44,36.45,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,2,1.98,34.58,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,1,2.16,49.38,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,2,1.97,49.65,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,1,1.73,25.08,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,2,2.1,25.93,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,1,DiffDock,1,1.45,28.41,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,1,DiffDock,2,1.48,41.74,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,1,DiffDock,3,1.45,28.41,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,2,DiffDock,1,1.91,60.93,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,2,DiffDock,2,1.33,20.37,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,2,DiffDock,3,1.91,60.93,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,3,DiffDock,1,1.54,66.99,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,3,DiffDock,2,1.03,34.09,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,3,DiffDock,3,1.54,66.99,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,1,0.59,13.95,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,2,1.23,15.61,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,3,1.31,14.23,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,1,1.35,48.5,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,2,1.39,48.52,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,3,1.46,48.92,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,1,1.04,47.56,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,2,1.27,46.86,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,3,1.22,47.89,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,DiffDock,1,EquiBind,1,1.27,33.27,DiffDock#1 vs EquiBind#1
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,DiffDock,1,EquiBind,2,1.27,34.38,DiffDock#1 vs EquiBind#2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,DiffDock,1,EquiBind,3,1.26,33.31,DiffDock#1 vs EquiBind#3
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,DiffDock,2,EquiBind,1,1.56,46.96,DiffDock#2 vs EquiBind#1
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,DiffDock,2,EquiBind,2,1.06,47.38,DiffDock#2 vs EquiBind#2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,DiffDock,2,EquiBind,3,1.62,47.4,DiffDock#2 vs EquiBind#3
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,DiffDock,3,EquiBind,1,1.27,33.27,DiffDock#3 vs EquiBind#1
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,DiffDock,3,EquiBind,2,1.27,34.38,DiffDock#3 vs EquiBind#2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,DiffDock,3,EquiBind,3,1.26,33.31,DiffDock#3 vs EquiBind#3
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,DiffDock,1,EquiBind,1,1.44,50.24,DiffDock#1 vs EquiBind#1
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,DiffDock,1,EquiBind,2,1.43,60.1,DiffDock#1 vs EquiBind#2
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,DiffDock,1,EquiBind,3,1.62,49.6,DiffDock#1 vs EquiBind#3
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,DiffDock,2,EquiBind,1,1.81,47.06,DiffDock#2 vs EquiBind#1
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,DiffDock,2,EquiBind,2,1.24,55.53,DiffDock#2 vs EquiBind#2
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,DiffDock,2,EquiBind,3,1.54,46.39,DiffDock#2 vs EquiBind#3
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,DiffDock,3,EquiBind,1,1.81,47.06,DiffDock#3 vs EquiBind#1
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,DiffDock,3,EquiBind,2,1.24,55.53,DiffDock#3 vs EquiBind#2
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,DiffDock,3,EquiBind,3,1.54,46.39,DiffDock#3 vs EquiBind#3
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,1,DiffDock,1,1.51,38.53,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,1,DiffDock,2,1.51,38.53,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,1,DiffDock,3,0.86,48.54,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,2,DiffDock,1,1.04,40.91,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,2,DiffDock,2,1.04,40.91,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,2,DiffDock,3,1.6,47.49,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,3,DiffDock,1,0.89,22.11,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,3,DiffDock,2,0.89,22.11,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,3,DiffDock,3,1.29,44.93,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,1,1.6,49.14,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,2,0.91,49.14,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,3,1.3,49.14,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,1,0.84,48.0,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,2,1.49,48.0,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,3,1.16,48.0,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,1,1.41,26.12,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,2,1.1,26.12,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,3,1.44,26.12,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,DiffDock,1,EquiBind,1,1.3,36.97,DiffDock#1 vs EquiBind#1
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,DiffDock,1,EquiBind,2,1.17,36.94,DiffDock#1 vs EquiBind#2
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,DiffDock,1,EquiBind,3,1.42,36.94,DiffDock#1 vs EquiBind#3
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,DiffDock,2,EquiBind,1,1.3,36.97,DiffDock#2 vs EquiBind#1
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,DiffDock,2,EquiBind,2,1.17,36.94,DiffDock#2 vs EquiBind#2
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,DiffDock,2,EquiBind,3,1.42,36.94,DiffDock#2 vs EquiBind#3
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,DiffDock,3,EquiBind,1,1.7,55.34,DiffDock#3 vs EquiBind#1
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,DiffDock,3,EquiBind,2,0.63,55.39,DiffDock#3 vs EquiBind#2
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,DiffDock,3,EquiBind,3,1.04,55.39,DiffDock#3 vs EquiBind#3
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,1,DiffDock,1,1.96,20.49,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,1,DiffDock,2,1.68,60.01,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,1,DiffDock,3,1.68,60.01,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,2,DiffDock,1,1.81,25.59,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,2,DiffDock,2,1.87,36.24,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,2,DiffDock,3,1.87,36.24,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,3,DiffDock,1,1.36,19.76,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,3,DiffDock,2,2.3,63.16,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,3,DiffDock,3,2.3,63.16,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,1,1.9,46.7,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,2,1.66,46.75,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,1,1.98,23.25,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,2,1.85,23.23,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,1,2.46,48.57,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,2,2.58,48.43,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,DiffDock,1,EquiBind,1,2.09,48.16,DiffDock#1 vs EquiBind#1
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,DiffDock,1,EquiBind,2,2.1,47.7,DiffDock#1 vs EquiBind#2
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,DiffDock,2,EquiBind,1,1.67,32.27,DiffDock#2 vs EquiBind#1
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,DiffDock,2,EquiBind,2,1.26,33.8,DiffDock#2 vs EquiBind#2
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,DiffDock,3,EquiBind,1,1.67,32.27,DiffDock#3 vs EquiBind#1
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,DiffDock,3,EquiBind,2,1.26,33.8,DiffDock#3 vs EquiBind#2
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,AutoDock_Vina,1,DiffDock,1,1.96,46.31,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,AutoDock_Vina,1,DiffDock,2,1.96,46.31,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,AutoDock_Vina,1,DiffDock,3,1.66,52.67,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,AutoDock_Vina,2,DiffDock,1,1.38,49.01,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,AutoDock_Vina,2,DiffDock,2,1.38,49.01,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,AutoDock_Vina,2,DiffDock,3,0.8,55.84,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,AutoDock_Vina,3,DiffDock,1,2.58,49.88,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,AutoDock_Vina,3,DiffDock,2,2.58,49.88,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,AutoDock_Vina,3,DiffDock,3,2.51,55.49,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,1,1.41,52.02,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,2,0.77,51.62,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,3,1.71,51.63,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,1,1.0,27.2,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,2,1.31,26.57,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,3,1.35,27.15,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,1,1.56,15.84,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,2,0.93,14.46,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,3,1.61,15.36,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,1,1.47,47.8,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,2,1.15,47.79,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,3,0.67,47.79,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,1,1.43,48.7,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,2,1.37,48.69,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,3,1.66,48.69,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,1,1.37,49.14,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,2,1.31,49.13,AutoDock_Vina#3 vs EquiBind#2
